,energy_100g,carbohydrates_100g,fat_100g,proteins_100g,sodium_100g,salt_100g,sugars_100g,saturated-fat_100g,fiber_100g,trans-fat_100g,cholesterol_100g,iron_100g,vitamin-c_100g,calcium_100g,vitamin-a_100g
43460,852.0,1.0,21.6,0.9,1.5519999999999998,3.88,0.4,2.8,2.8,,,,,,
43462,0.0,0.0,0.0,0.0,0.38303200000000004,0.9575799999999999,18.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005661
43465,502.0,4.2,9.9,3.1,0.24,0.6,2.8,4.7,0.9,,,,,,
43471,1653.0,92.8,0.2,5.5,0.092,0.23,91.4,0.1,,,,,,,
43488,2929.0,16.67,63.33,16.67,0.0,0.0,3.33,5.0,6.7,,0.0,0.0036,0.004,0.133,0.0
43496,1711.0,45.45,9.09,27.27,0.0,0.0,18.18,0.0,18.2,0.0,0.0,0.00655,0.0,0.0,0.0
43525,1071.0,53.49,2.33,4.65,0.023368,0.05842000000000001,0.0,0.0,11.6,0.0,0.0,0.00251,0.0,0.023,0.0
43530,3210.0,70.0,6.67,13.3,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.006670000000000001,0.0,0.03,0.0
43551,1674.0,80.0,5.0,8.0,0.0,0.0,30.0,1.0,8.0,0.0,0.0,0.00288,0.0,0.04,0.0
43552,1586.0,65.52,10.34,10.34,0.0,0.0,17.24,1.72,6.9,0.0,0.0,0.00248,0.0,0.069,0.0
43560,0.0,0.0,0.0,0.0,27.4,68.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43578,2648.0,13.33,53.33,26.67,0.017272,0.04318,0.0,8.33,3.3,0.0,0.0,0.009000000000000001,0.0,0.0,0.0
43580,1527.0,61.54,1.92,25.0,0.0,0.0,1.92,0.0,26.9,0.0,0.0,0.00692,0.0,0.038,5.7600000000000004e-05
43583,1393.0,62.75,0.0,21.57,0.010159999999999999,0.0254,7.84,0.0,21.6,0.0,0.0,0.0070599999999999994,0.0,0.078,0.0
43624,2791.0,26.67,66.67,6.67,0.033527999999999995,0.08382,6.67,60.0,13.3,0.0,0.0,0.0024,0.0,0.0,0.0
43636,1674.0,73.33,3.33,13.33,0.003048,0.00762,0.0,0.0,13.3,0.0,0.0,0.0048,0.0,0.0,0.0
43648,1393.0,60.0,1.11,22.22,0.011176,0.027939999999999996,2.22,0.0,24.4,0.0,0.0,0.006,0.0027,0.133,0.0
43690,1670.0,65.7,8.57,11.4,0.0,0.0,14.3,0.0,11.4,,0.0,0.00286,,0.04,
43695,1477.0,76.47,1.47,8.82,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0052899999999999996,0.0,0.0,0.0
43721,1393.0,66.67,3.33,13.33,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0096,0.0,0.133,0.0
43722,2250.0,30.8,34.6,23.1,0.0,0.0,0.0,0.0,23.1,,,0.007690000000000001,,0.185,
43725,2443.0,19.35,51.61,19.35,0.0,0.0,3.23,6.45,9.7,0.0,0.0,0.00581,0.0,0.065,0.0
43747,2.22,68.9,6.67,13.3,0.0,0.0,2.22,1.11,8.89,,,,,,
43754,1570.0,65.0,6.25,17.5,0.0,0.0,2.5,1.25,17.5,,,0.005,,0.05,
43757,2250.0,30.8,34.6,23.1,0.0,0.0,0.0,0.0,23.1,,,0.007690000000000001,,0.185,
43758,2390.0,35.7,35.7,28.6,0.0,0.0,7.14,0.0,7.14,,,,,,
43763,544.0,26.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,,,,,,
43767,1632.0,89.52,1.52,4.48,0.18,0.45,63.87,0.83,,,,,,,
43775,1590.0,57.0,10.0,10.0,0.48,1.2,19.0,1.5,11.0,,,,,,
43781,400.0,33.3,3.33,53.3,0.16699999999999998,0.41700000000000004,0.0,0.667,20.0,,,,,,
43782,920.0,41.0,3.5,5.0,0.0,0.0,14.0,0.5,4.0,,,,,,
43788,1710.0,89.2,2.7,5.41,0.17800000000000002,0.446,64.9,0.0,5.41,,,,,,
43789,1670.0,65.7,8.57,11.4,0.0,0.0,14.3,0.0,11.4,0.0,0.0,0.00286,0.0,0.04,0.0
43803,1260.0,61.8,1.47,8.82,0.0,0.0,0.0,0.0,11.8,,,,,,
43805,875.0,50.0,0.0,0.0,0.0165,41.3,0.0,0.0,0.0,,,,,,
43806,1100.0,32.0,9.0,13.0,0.0004572,1.143,6.0,2.0,7.0,,,,,,
43807,707.0,18.2,8.1,4.6,0.252,0.63,5.8,1.7,2.3,,,,,,
43809,2071.0,56.9,21.8,6.1,0.24,0.6,32.4,13.6,3.6,,,,,,
43812,1757.0,60.0,20.0,6.0,0.08,0.2,50.0,7.0,,,,,,,
43813,2170.0,56.3,28.1,8.66,0.0823,0.20600000000000002,47.6,17.3,,,,,,,
43820,1690.0,93.2,3.78,0.0,0.010159999999999999,0.0254,75.6,3.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43828,2200.0,52.5,35.0,7.5,0.0254,0.0635,42.5,17.5,5.0,0.0,,0.0018,,0.1,
43830,2070.0,70.5,21.2,4.7,0.0717,0.179,63.5,11.8,2.35,0.0,0.0118,0.0008470000000000001,0.0,0.0941,0.0
43831,2160.0,58.8,25.9,9.41,0.0478,0.11900000000000001,49.4,10.6,2.35,0.0,0.0118,0.0008470000000000001,0.0,0.0941,0.0
43833,1400.0,61.9,16.7,9.52,0.0,0.0,52.4,10.7,,,,,,,
43835,2243.0,50.0,29.0,11.0,0.08,0.2,46.0,18.0,,,,,,,
43836,1046.0,23.0,14.0,0.0,0.06,0.15,23.0,5.0,,,,,,,
43838,1940.0,74.3,13.9,6.19,0.0,0.0,52.6,9.29,3.1,,,,,,
43841,1845.0,77.2,12.9,1.9,0.17600000000000002,0.44,66.2,9.2,,,,,,,
43842,1046.0,27.0,12.0,4.0,0.048,0.12,27.0,4.5,,,,,,,
43843,2071.0,57.43,27.72,9.9,0.12,0.3,45.54,9.9,,,,,,,
43844,753.0,21.0,50.0,2.0,6.0,15.0,21.0,3.5,1.0,,,,,,
43849,879.0,26.0,9.0,0.0,0.0148,0.037000000000000005,26.0,5.0,0.0,,,,,,
43864,1925.0,50.0,25.0,9.0,0.0072,0.018000000000000002,42.0,15.0,2.0,,,,,,
43868,105.0,3.43,1.14,0.49,0.007112,0.01778,1.96,0.25,0.3,0.0,0.0,0.00011999999999999999,0.0002,0.003,4.8e-06
43877,795.0,20.0,9.0,3.0,3.4,8.5,20.0,5.0,,,,,,,
43884,1992.0,73.0,19.0,4.7,0.06,0.15,66.0,11.0,0.0,,,,,,
43907,1046.0,27.0,12.0,4.0,0.048,0.12,27.0,4.5,,,,,,,
43916,2138.0,55.0,28.0,10.0,0.02,0.05,55.0,11.5,,,,,,,
43922,2188.0,57.1,28.5,9.52,0.0856,0.214,47.62,16.67,,,,,,,
43927,2090.0,59.4,28.1,6.25,0.00011100000000000001,0.278,53.1,18.8,0.0,0.0,0.0156,0.0,,0.156,
43932,1841.0,52.0,24.0,8.0,0.8,2.0,36.0,10.0,,,,,,,
43972,377.0,13.93,1.84,4.51,0.420624,1.05156,0.82,0.2,4.9,0.0,0.0,0.0011099999999999999,0.0015,0.033,6.15e-05
43979,2130.0,50.9,30.9,5.7,0.26,0.65,26.1,7.9,3.1,,,,,,
43980,2075.0,57.8,27.1,3.8,0.28,0.7,25.1,7.6,2.7,,,,,,
44003,2540.0,7.14,50.0,35.71,0.061975999999999996,0.15494000000000002,3.57,10.71,0.0,0.0,0.0,0.009640000000000001,0.0,0.0,0.0
44005,1226.0,67.86,0.0,5.36,0.036576,0.09144,60.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44017,1226.0,67.86,0.0,5.36,0.036576,0.09144,60.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44021,1142.0,46.8,3.6,11.4,0.32,0.8,5.3,0.5,3.8,,,,,,
44027,1071.0,3.33,21.11,13.33,0.835152,2.0878799999999997,1.11,7.78,1.1,1.11,0.061,0.002,0.0013,0.022000000000000002,0.0002499
44028,1071.0,2.22,21.11,13.33,0.835152,2.0878799999999997,1.11,7.78,0.0,1.11,0.061,0.0016,0.0,0.022000000000000002,9.990000000000002e-05
44029,1071.0,2.22,21.11,13.33,0.835152,2.0878799999999997,1.11,7.78,0.0,1.11,0.061,0.0016,0.0,0.022000000000000002,9.990000000000002e-05
44030,1071.0,3.33,21.11,13.33,0.835152,2.0878799999999997,1.11,7.78,1.1,1.11,0.061,0.002,0.0013,0.022000000000000002,0.0002499
44031,774.0,0.0,13.04,15.22,1.038352,2.5958799999999997,0.0,3.26,0.0,0.0,0.087,0.0,0.0,0.0,0.0
44032,774.0,0.0,13.04,15.22,1.038352,2.5958799999999997,0.0,3.26,0.0,0.0,0.087,0.0,0.0,0.0,0.0
44036,565.0,37.08,0.0,0.0,0.06299199999999999,0.15748,35.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44061,2067.0,67.02,5.29,7.05,0.41249600000000003,1.03124,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
44082,1699.0,84.38,7.81,3.12,0.285496,0.7137399999999999,53.12,4.69,3.1,0.0,0.016,0.00225,0.0,0.062,9.36e-05
44083,1699.0,84.38,7.81,3.12,0.285496,0.7137399999999999,53.12,4.69,3.1,0.0,0.016,0.00225,0.0,0.062,9.36e-05
44084,1699.0,84.38,7.81,3.12,0.285496,0.7137399999999999,53.12,4.69,3.1,0.0,0.016,0.00225,0.0,0.062,9.36e-05
44088,0.0,100.0,0.0,0.0,0.508,1.27,0.0,0.0,0.0,0.0,0.0,0.036000000000000004,0.0,0.0,0.0
44095,828.0,11.11,10.32,15.08,0.403352,1.0083799999999998,5.56,1.59,0.8,0.0,0.027999999999999997,0.0,0.0,0.016,0.0
44103,297.0,8.24,3.53,3.53,0.07721599999999999,0.19304000000000002,2.35,0.0,3.5,0.0,0.0,0.0012699999999999999,0.0847,0.047,0.0001764
44104,297.0,5.88,4.71,2.35,0.09550399999999999,0.23876,1.18,0.59,2.4,0.0,0.0,0.00085,0.0847,0.047,0.0001764
44121,1435.0,72.4,4.0,4.4,0.075184,0.18796,66.8,0.8,0.8,0.0,0.0,0.0,,0.0,
44131,1172.0,52.0,9.0,4.0,0.22351999999999997,0.5588,2.0,0.0,6.0,0.0,0.0,0.00072,0.0,0.0,0.0
44134,1464.0,54.0,11.0,7.4,0.336,0.84,16.0,7.2,2.0,0.0,0.0,0.00144,0.0,0.08,0.0
44141,1657.0,22.92,30.21,10.42,0.740664,1.8516599999999999,0.0,6.25,1.0,0.0,0.042,0.00037999999999999997,0.0,0.062,6.24e-05
44146,96.0,5.71,0.0,0.0,0.023368,0.05842000000000001,5.14,0.0,0.0,0.0,0.0,0.0001,0.0,0.006,0.0
44157,222.0,3.53,3.53,2.35,0.059944000000000004,0.14986,1.18,0.0,2.4,0.0,0.0,0.00212,0.0056,0.024,0.0001764
44164,1460.0,43.3,11.7,31.7,0.000254,0.635,3.33,4.17,20.0,,,,,,
44172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
44198,816.0,0.0,14.16,16.81,0.0762,0.1905,0.0,3.1,0.0,,0.075,0.0012699999999999999,0.0,0.08800000000000001,2.64e-05
44199,778.0,3.54,11.5,18.58,0.089408,0.22351999999999997,0.0,0.0,0.0,0.0,0.053,0.00032,0.0011,0.053,2.64e-05
44209,1393.0,70.0,1.67,13.33,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0024,0.0,0.0,0.0
44214,2100.0,59.5,25.2,8.0,0.672,1.68,6.9,16.9,2.0,,,,,,
44222,2059.0,62.3,23.4,7.1,0.07200000000000001,0.18,43.9,16.6,2.0,,,,,,
44226,393.0,6.25,6.25,0.0,1.3969999999999998,3.4925,0.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.0,0.0001875
44230,1029.0,52.63,0.88,7.02,0.347472,0.8686799999999999,1.75,0.0,1.8,0.0,0.0,0.00063,0.0,0.14,0.0
44247,2220.0,0.0,60.0,0.0,447.0,1120.0,0.0,18.0,0.0,0.0,,,,,0.0133
44252,870.0,33.1,7.7,0.8,0.052000000000000005,0.13,18.5,5.0,,,,,,,
44260,1121.0,37.2,11.8,2.6,0.132,0.33,19.3,6.9,1.1,,,,,,
44271,1540.0,49.12,17.54,3.51,0.24993600000000002,0.62484,33.33,3.51,0.0,0.0,0.061,0.00126,0.0,0.035,5.25e-05
44278,1690.0,41.41,24.24,5.05,0.297688,0.74422,24.24,4.55,1.0,0.0,0.071,0.00145,0.0024,0.04,3.0299999999999998e-05
