,energy_100g,carbohydrates_100g,fat_100g,proteins_100g,sodium_100g,salt_100g,sugars_100g,saturated-fat_100g,fiber_100g,trans-fat_100g,cholesterol_100g,iron_100g,vitamin-c_100g,calcium_100g,vitamin-a_100g
8,134.0,5.3,0.3,0.9,0.168,0.42,3.9,0.1,,,,,,,
15,1594.0,27.3,22.0,4.6,0.04,0.1,21.9,15.5,4.4,,,,,,
23,657.0,36.0,0.0,0.6,0.0,0.0,27.0,0.0,3.6,,,,,,
27,598.0,3.9,12.7,1.9,0.10800000000000001,0.27,1.0,1.0,,,,,,,
48,1661.0,0.1,33.0,25.0,0.52,1.3,0.1,21.6,,,,,,,
50,824.0,3.0,13.0,17.0,0.44,1.1,0.9,4.0,,,,,,,
51,824.0,28.7,5.0,8.4,0.1868,0.467,3.0,1.1,,,,,,,
54,669.0,25.2,2.2,9.5,0.1432,0.358,0.6,0.5,1.6,,,,,,
56,1059.0,0.5,17.0,23.0,1.0,2.5,0.5,2.6,,,,,,,
58,983.0,1.0,15.0,24.0,0.8,2.0,1.0,7.5,,,,,,,
71,268.0,1.8,2.3,3.7,0.16,0.4,1.4,2.3,,,,,,,
244,1255.0,83.33,0.0,0.0,0.0,0.0,66.67,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
280,2427.0,58.0,38.0,3.0,0.2,0.5,58.0,36.0,,,,,,,
289,450.0,15.3,2.2,6.8,0.28,0.7,0.5,0.9,0.5,,,,,,
290,455.0,12.5,4.2,4.4,0.24,0.6,1.4,2.1,1.8,,,,,,
292,1210.0,23.0,12.0,22.0,0.0008640000000000001,2.16,0.0,7.0,2.0,,0.055999999999999994,0.0,0.0,0.0,0.0
298,2264.0,59.0,31.0,6.4,0.23199999999999998,0.58,22.0,16.0,,,,,,,
308,1952.4,75.5,15.3,6.8,0.2,0.5,69.8,11.2,0.1,,,,,,
322,1090.0,38.7,10.7,3.33,0.000259,0.647,24.7,2.0,2.0,0.667,0.00533,0.00047999999999999996,0.0016,0.0133,0.0
338,1160.0,53.3,1.11,10.0,0.00061,1.52,1.11,0.33299999999999996,2.22,0.0,0.0,0.006,0.0,0.0222,0.0
340,895.0,35.9,4.4,3.7,0.36,0.9,3.0,0.6,,,,,,,
343,213.0,14.0,0.0,0.0,0.4,1.0,0.0,0.0,0.0,,,,,,
349,201.0,13.3,0.0,0.0,0.02,0.05,12.7,0.0,,,,,,,
351,478.0,7.86,6.79,5.36,0.0002,0.499,0.7140000000000001,2.86,0.35700000000000004,0.0,0.0107,0.000643,0.000429,0.0286,1.07e-05
353,1577.0,93.0,0.5,1.5,0.008,0.02,66.0,0.1,,,,,,,
354,1674.0,93.3,0.0,0.0,0.0,0.0,93.3,0.0,,,,,,,
359,17.0,0.1,0.1,0.1,0.0004,0.001,0.1,0.1,,,,,,,
373,1749.0,77.68,10.41,4.29,0.084,0.21,70.54,0.79,,,,,,,
375,1732.0,77.02,10.29,4.2,0.084,0.21,69.97,0.77,,,,,,,
382,2142.0,0.0,0.25,0.0,0.0,0.0,0.0,0.02,,,,,,,
383,3276.0,0.12,86.67,0.66,0.34,0.85,0.0,53.04,,,,,,,
385,3012.0,0.0,80.0,0.0,0.1,0.25,0.0,48.96,0.0,,,,,,
386,1720.0,87.86,6.42,0.03,0.04,0.1,81.67,3.53,0.0,,,,,,
400,1644.0,87.1,4.8,0.0,0.048,0.12,84.7,3.3,,,,,,,
401,1644.0,87.1,4.8,0.0,0.048,0.12,84.7,3.3,,,,,,,
418,536.0,50.0,6.0,7.0,0.0,0.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
425,1682.0,2.4,5.2,4.3,4.0,10.0,1.9,0.4,,,,,,,
436,1527.0,71.76,1.18,12.94,0.47853599999999996,1.19634,4.71,0.0,2.4,0.0,0.0,0.00424,0.0,0.071,0.0
440,1749.0,51.76,21.76,5.88,0.26924000000000003,0.6731,32.94,5.29,2.4,0.0,0.071,0.00159,0.0,0.08800000000000001,3.54e-05
446,1623.0,42.35,22.35,4.71,0.323088,0.80772,15.29,11.76,2.4,0.0,0.0,0.0016899999999999999,0.0282,0.0,7.049999999999999e-05
459,2257.0,53.8,33.3,4.7,0.036000000000000004,0.09,51.5,21.1,,,,,,,
463,2029.0,4.4,48.2,9.2,0.584,1.46,0.9,20.0,,,,,,,
474,1427.0,43.0,17.0,4.3,0.35600000000000004,0.89,14.0,9.9,,,,,,,
479,1745.0,44.0,24.0,6.1,0.68,1.7,17.0,10.0,,,,,,,
486,1151.0,55.0,1.5,9.4,0.244,0.61,5.1,0.2,,,,,,,
489,1284.0,54.2,7.0,3.9,0.08,0.2,44.0,3.6,4.7,,,,,,
490,1284.0,54.2,7.0,3.9,0.0799592,0.199898,44.0,3.6,4.7,,,,,,
494,1046.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
495,920.0,27.0,12.0,2.0,0.0,0.0,19.0,8.0,,,,,,,
502,607.0,3.5,13.0,2.0,0.32,0.8,2.0,1.0,,,,,,,
509,2360.0,51.6,30.5,0.0,0.892,2.23,51.6,18.8,0.0,,,,,,
510,177.0,10.4,0.0,0.0,0.010159999999999999,0.0254,10.4,0.0,0.0,,,,,,
520,1226.0,18.5,23.8,1.3,0.68,1.7,17.0,1.8,,,,,,,
526,1707.0,17.0,37.0,1.7,0.88,2.2,12.0,4.0,0.2,,,,,,
532,180.0,10.7,0.1,0.0,0.0,0.0,10.7,0.0001,,,,,,,
539,703.0,0.0,10.3,18.9,0.04,0.1,0.0,1.4,0.0,,,,,,
540,573.0,24.0,3.1,2.2,0.4,1.0,0.8,1.6,2.2,,,,,,
545,828.0,17.6,7.2,15.3,0.72,1.8,0.5,1.0,,,,,,,
554,527.0,10.5,6.3,6.5,0.316,0.79,1.5,2.3,,,,,,,
555,1276.0,32.5,16.3,6.5,0.212,0.53,0.6,1.6,,,,,,,
556,1598.0,33.0,24.1,7.2,0.4,1.0,3.5,11.2,,,,,,,
560,678.0,17.0,6.6,8.2,0.292,0.73,3.7,1.7,0.9,,,,,,
561,812.0,21.2,8.1,8.3,0.48,1.2,1.6,1.6,,,,,,,
563,456.0,2.0,3.3,17.7,0.04,0.1,0.01,1.2,,,,,,,
565,431.0,0.3,4.0,20.0,0.56,1.4,0.3,0.5,,,,,,,
566,1163.0,24.0,17.0,5.9,0.6,1.5,1.6,7.0,2.7,,,,,,
567,2473.0,12.0,8.9,2.8,0.32,0.8,3.0,6.1,,,,,,,
574,1130.0,35.1,10.5,2.1,0.04,0.1,16.5,7.4,,,,,,,
575,1686.0,29.4,28.2,6.1,0.14400000000000002,0.36,24.3,18.46,,,,,,,
576,1017.0,16.0,18.0,2.9,0.3,0.75,2.9,1.9,,,,,,,
581,724.0,3.3,0.4,4.1,0.04,0.1,1.0,0.1,,,,,,,
583,1569.0,37.2,22.6,4.6,0.04,0.1,28.2,11.3,,,,,,,
589,1364.0,31.0,20.3,3.5,0.08,0.2,30.2,13.0,,,,,,,
599,632.0,5.3,9.4,10.6,0.344,0.86,1.1,6.7,,,,,,,
606,707.0,10.3,11.0,6.8,0.24,0.6,2.6,3.8,,,,,,,
607,586.0,5.1,11.0,4.6,1.96,4.9,0.6,5.5,0.5,,,,,,
610,862.0,1.7,15.0,16.0,0.44,1.1,1.7,4.2,,,,,,,
612,1029.0,40.0,8.0,3.3,0.052000000000000005,0.13,25.0,4.9,,,,,,,
613,1151.0,39.1,10.9,4.6,0.24,0.6,17.3,6.0,,,,,,,
615,1025.0,22.4,10.9,13.9,0.568,1.42,1.5,1.7,0.9,,,,,,
625,2180.0,60.7,27.0,7.2,0.2236,0.5589999999999999,47.1,9.5,,,,,,,
627,3464.0,0.0,92.0,0.0,0.0,0.0,0.0,14.0,,,,,,,
634,1088.0,30.0,0.5,34.0,4.32,10.8,1.2,0.1,3.5,,,,,,
635,427.0,23.2,0.1,1.2,0.72,1.8,22.8,0.1,,,,,,,
636,427.0,23.2,0.1,1.2,0.72,1.8,22.8,0.1,,,,,,,
637,177.0,10.4,0.0,0.0,0.04,0.1,10.4,0.0,,,,,,,
641,1326.0,24.8,21.8,4.6,0.044000000000000004,0.11,22.5,14.5,,,,,,,
644,1900.0,55.0,23.0,6.0,0.272,0.68,26.0,2.5,1.5,,,,,,
645,2582.0,36.0,48.0,8.0,0.004,0.01,32.0,10.0,,,,,,,
678,979.0,54.0,0.3,2.0,0.004,0.01,35.0,0.08,,,,,,,
685,423.0,48.0,5.4,1.3,0.08800000000000001,0.22,19.0,0.7,,,,,,,
688,1259.0,46.0,10.0,6.2,0.272,0.68,16.0,1.4,,,,,,,
694,1965.0,54.0,25.0,6.0,0.23199999999999998,0.58,30.0,6.0,2.5,,,,,,
699,1966.0,46.3,28.9,5.0,0.24,0.6,18.2,16.4,,,,,,,
706,1732.0,45.0,22.2,8.6,0.48,1.2,7.4,15.8,,,,,,,
713,724.0,42.0,0.5,0.5,0.04,0.1,42.0,0.1,,,,,,,
718,1768.0,56.0,19.0,5.8,0.26,0.65,28.0,2.5,1.8,,,,,,
722,1670.0,60.0,15.0,4.9,0.24,0.6,34.0,2.0,1.5,,,,,,
725,1130.0,38.0,11.0,4.0,0.044000000000000004,0.11,25.0,5.8,,,,,,,
733,1740.0,8.67,8.33,76.3,0.14800000000000002,0.37,8.67,5.0,0.33299999999999996,,,,,,
734,1745.0,10.0,7.5,75.0,0.1404,0.35100000000000003,10.0,5.0,0.4,,,,,,
755,1270.0,52.2,7.01,7.09,0.65,1.62,1.62,2.48,1.88,,,,,,
757,1866.0,51.0,23.0,8.0,0.22,0.55,39.0,10.0,1.7,,,,,,
766,1896.0,50.0,24.0,8.1,0.312,0.78,37.0,10.0,2.5,,,,,,
775,2243.0,57.14,32.14,7.14,0.381,0.9525,0.0,3.57,3.6,0.0,0.0,0.0012900000000000001,0.0214,0.0,0.0
776,1925.0,45.0,27.0,7.5,0.26,0.65,34.0,13.0,3.6,,,,,,
777,1167.0,48.2,6.3,4.4,0.436,1.09,4.4,0.5,5.8,,,,,,
780,1674.0,100.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,,,,,,
783,1427.0,43.0,17.0,4.3,0.35600000000000004,0.89,14.0,9.9,,,,,,,
784,1820.0,48.0,24.0,5.8,0.336,0.84,21.0,10.0,,,,,,,
785,1958.0,64.7,20.9,5.3,0.8,2.0,8.2,2.6,,,,,,,
789,1272.0,,,5.8,0.28,0.7,12.7,1.7,0.0,,,,,,
795,2406.0,50.0,40.0,7.5,0.1016,0.254,50.0,25.0,0.0,0.0,0.025,0.0,0.003,0.25,0.0
812,1188.0,54.4,2.1,10.1,0.52,1.3,3.1,0.38,,,,,,,
815,2234.0,8.5,44.5,8.6,0.064,0.16,1.0,11.0,,,,,,,
824,59.0,3.64,0.0,0.0,0.10668,0.2667,1.82,0.0,1.8,0.0,0.0,0.00033,0.0082,0.036000000000000004,5.4600000000000006e-05
843,1084.0,20.7,2.1,13.0,0.008,0.02,9.3,0.45,,,,,,,
848,2418.0,5.7,47.7,25.4,0.00037999999999999997,0.00095,2.4,4.3,,,,,,,
860,1251.0,44.0,11.0,5.6,0.256,0.64,18.0,1.6,,,,,,,
872,1360.0,75.0,0.0,5.0,0.0508,0.127,57.5,0.0,0.0,,,,,,
873,586.0,34.0,0.0,0.0,0.03048,0.0762,24.0,0.0,0.0,,,,,,
890,1360.0,82.5,0.0,0.0,0.0,0.0,75.0,0.0,5.0,0.0,0.0,0.0009,0.0,0.0,0.0
916,1448.0,65.0,4.7,4.3,0.04,0.1,35.0,0.7,,,,,,,
934,190.0,9.0,0.5,1.4,0.004,0.01,9.0,0.1,1.2,,,,,,
940,1795.0,78.57,10.71,7.14,0.653288,1.6332200000000001,0.0,0.0,7.1,0.0,0.0,0.0012900000000000001,0.0,0.14300000000000002,0.0
957,791.0,22.0,6.2,11.0,4.6,11.5,10.0,1.0,,,,,,,
961,0.0,0.0,0.0,0.0,0.00023700000000000001,0.593,0.0,0.0,0.0,,,,,,
966,93.0,5.36,0.331,0.142,8.72,21.8,1.91,0.106,0.0,,,,,,
967,1724.0,57.0,18.0,5.0,0.252,0.63,31.0,2.0,1.0,,,,,,
1006,1665.0,96.0,0.5,0.9,0.0,0.0,96.0,0.5,0.1,,,,,,
1009,1439.0,36.9,4.0,51.0,0.08,0.2,12.4,0.7,,,,,,,
1010,2100.0,60.1,26.0,5.4,0.36,0.9,37.4,15.2,2.8,,,,,,
1011,1866.0,64.3,17.9,5.5,0.34,0.8500000000000011,34.7,11.0,3.0,,,,,,
1012,2171.0,58.4,29.1,5.5,0.4,1.0,33.5,17.0,1.3,,,,,,
1013,1887.0,59.3,20.5,5.1,0.312,0.7799999999999989,36.5,13.3,4.2,,,,,,
1014,2209.0,46.9,32.1,10.7,0.26,0.65,20.7,14.9,4.5,,,,,,
1015,1799.0,67.5,15.2,4.4,0.3,0.75,41.2,8.6,2.7,,,,,,
1016,2184.0,57.4,29.3,5.6,0.34,0.85,34.4,17.0,2.9,,,,,,
1017,1979.0,63.6,20.8,6.1,0.23199999999999998,0.58,31.8,13.7,3.3,,,,,,
1018,1809.0,70.2,13.3,6.1,0.332,0.83,35.7,7.0,2.5,,,,,,
1021,1981.0,63.6,20.8,6.1,0.228,0.570000000000001,31.8,13.7,3.3,,,,,,
1023,238.0,12.1,0.3,0.9,0.012,0.03,10.6,0.3,0.7,,,,,,
1036,1289.0,70.0,0.7,5.4,0.336,0.84,46.0,0.3,,,,,,,
1038,1253.0,45.11,1.43,26.76,0.012,0.03,11.06,0.04,,,,,,,
1050,619.0,,,8.4,0.3,0.75,2.9,0.7,1.1,,,,,,
1060,1464.0,75.0,1.25,15.0,0.0,0.0,2.5,0.0,7.5,0.0,0.0,0.0018,0.0,0.0,0.0
1065,456.0,16.0,2.2,5.7,0.172,0.43,1.4,1.1,0.8,,,,,,
1066,460.0,14.5,1.7,8.5,0.192,0.48,2.5,0.4,,,,,,,
1068,2385.0,21.0,48.0,21.0,0.0,0.0,3.0,7.5,9.4,0.0,0.0,0.00225,0.0,0.062,0.0
1069,2485.0,21.88,50.0,21.88,0.445008,1.1125200000000002,3.12,6.25,6.2,0.0,0.0,0.00225,0.0,0.062,0.0
1070,2485.0,21.88,50.0,21.88,0.0,0.0,3.12,7.81,9.4,0.0,0.0,0.00225,0.0,0.062,0.0
1078,138.0,5.7,0.4,0.8,0.04,0.1,5.7,0.1,,,,,,,
1085,335.0,0.0,2.0,0.0,0.24,0.6,0.0,0.0,0.8,0.0,0.008,0.00118,0.003,0.0,0.0
1098,2071.0,60.5,23.8,5.8,0.04,0.1,25.6,1.8,7.7,,,,,,
1099,1259.0,34.8,6.0,0.2,0.0,0.0,0.0,0.0,,,,,,,
1102,498.0,18.0,2.7,5.5,0.18,0.45,1.5,1.0,,,,,,,
1106,690.0,33.1,0.6,5.9,0.48,1.2,1.5,0.1,1.9,,,,,,
1109,126.0,3.6,1.4,0.3,0.252,0.63,2.7,0.8,1.0,,,,,,
1114,1431.0,73.0,1.6,7.0,0.032,0.08,0.6,0.3,3.6,,,,,,
1115,2188.0,60.4,28.8,4.8,0.26,0.65,18.7,18.8,,,,,,,
1129,1540.0,81.0,1.0,7.3,0.12,0.3,5.5,0.3,,,,,,,
1135,184.0,4.3,0.1,6.3,0.052000000000000005,0.13,3.6,0.07,,,,,,,
1138,1477.0,49.0,14.0,7.7,0.44,1.1,13.0,9.4,,,,,,,
1147,1812.0,58.0,16.9,8.9,0.68,1.7,0.0,5.9,,,,,,,
1153,1109.0,30.0,10.0,12.0,0.16,0.4,1.0,5.0,,,,,,,
1154,473.0,0.6,3.0,22.0,0.84,2.1,0.6,1.1,,,,,,,
1156,1536.0,61.6,4.8,14.8,0.0012,0.003,1.3,0.9,,,,,,,
1157,1130.0,43.0,5.2,10.0,0.48,1.2,4.7,0.6,,,,,,,
1160,766.0,37.0,1.0,6.11,0.4,1.0,3.5,0.5,,,,,,,
1161,356.0,10.0,2.8,5.0,0.04,0.1,8.0,2.1,,,,,,,
1168,59.0,3.0,0.5,0.5,0.004,0.01,3.0,0.1,,,,,,,
1171,1021.0,0.0,20.0,16.0,0.94,2.35,0.0,10.0,,,,,,,
1173,192.0,9.7,0.0,0.8,0.0,0.0,9.7,0.0,0.7,,,,,,
1174,1025.0,31.0,8.7,9.6,0.396,0.99,2.6,0.7,,,,,,,
1176,1904.0,49.0,21.0,9.0,0.2,0.5,14.0,5.0,,,,,,,
1177,209.0,11.0,0.1,0.5,0.0,0.0,11.0,0.0,,,,,,,
1181,556.0,6.0,11.0,1.0,0.24,0.6,6.0,2.2,,,,,,,
1187,1038.0,60.0,0.3,0.5,0.02,0.05,59.0,0.05,,,,,,,
1188,222.0,4.3,1.4,5.4,0.068,0.17,2.6,0.9,,,,,,,
1193,828.0,37.3,0.5,8.1,0.44,1.1,1.4,0.1,,,,,,,
1196,1004.0,24.0,11.0,10.0,0.48,1.2,2.3,1.1,,,,,,,
1198,1360.0,50.5,4.0,19.3,1.72,4.3,1.5,1.1,4.6,,,,,,
1199,1527.0,55.0,13.0,3.0,0.14800000000000002,0.37000000000000105,25.0,8.0,2.0,,,,,,
1202,343.0,0.0,0.7,19.0,0.72,1.8,0.0,0.2,,,,,,,
1208,322.0,5.5,5.0,1.0,0.28,0.7,4.0,0.3,,,,,,,
1212,2958.0,0.6,8.2,23.0,1.16,2.9,0.5,1.2,,,,,,,
1216,1619.0,15.0,24.0,25.0,0.84,2.1,4.8,7.4,,,,,,,
1236,1046.0,12.0,20.5,15.1,0.752,1.88,12.0,9.3,,,,,,,
1272,1979.0,55.0,25.0,5.8,0.252,0.63,32.0,5.0,2.5,,,,,,
1275,1807.0,57.0,20.0,5.3,0.28,0.7,37.0,5.0,1.0,,,,,,
1280,2030.0,54.2,26.8,6.0,0.14800000000000002,0.37000000000000105,29.4,7.6,1.9,,,,,,
1293,2096.0,58.1,26.1,6.9,0.252,0.63,30.2,14.3,3.2,,,,,,
1305,665.0,34.8,1.3,1.1,0.512,1.28,32.7,0.8,3.0,,,,,,
1307,1070.0,25.6,12.0,9.77,0.489,1.22,3.76,4.51,0.752,0.0,0.0226,0.0008119999999999999,0.00271,0.113,9.02e-05
1314,564.0,4.3,2.0,24.5,0.8,2.0,2.9,0.7,0.1,,,,,,
1317,2192.0,58.1,29.2,5.4,0.24,0.6,14.8,18.2,,,,,,,
1320,2389.0,60.71,32.14,3.57,0.072136,0.18034,39.29,25.0,3.6,0.0,0.071,0.00257,0.0,0.0,0.0
1326,1515.0,42.3,19.9,2.8,0.32,0.8,21.3,2.5,1.2,,,,,,
1327,1728.0,53.1,20.0,4.1,0.22,0.55,41.9,12.4,2.0,,,,,,
1338,2205.0,58.6,29.7,5.4,0.28,0.7,27.8,18.2,1.8,,,,,,
1341,2054.0,53.7,26.5,6.2,0.47200000000000003,1.18,2.5,3.2,6.3,,,,,,
1343,1657.0,63.7,11.1,8.3,0.684,1.71,15.1,1.3,4.2,,,,,,
1344,2297.0,52.0,34.9,4.7,0.2,0.5,21.2,18.2,4.1,,,,,,
1349,1883.0,62.5,20.0,5.0,0.0508,0.127,50.0,10.0,2.5,0.0,0.012,0.0018,0.0,0.075,0.0
1357,1623.0,95.6,0.5,0.3,0.04,0.1,95.6,0.4,,,,,,,
1366,849.0,0.4,13.4,20.0,0.32,0.8,0.1,4.7,,,,,,,
1368,1343.0,72.2,1.1,4.2,0.08,0.2,46.8,0.3,2.8,,,,,,
1375,1674.0,18.0,36.0,20.0,1.2,3.0,18.0,36.0,,,,,,,
1376,130.0,7.6,0.1,0.2,0.012,0.03,7.6,0.1,0.1,,,,,,
1384,180.0,9.8,0.1,0.4,0.04,0.1,9.1,0.1,0.5,,,,,,
1386,1067.0,59.7,1.0,0.5,0.12,0.3,55.3,0.5,2.3,,,,,,
1392,1986.0,62.5,21.5,5.9,0.408,1.02,30.5,10.1,3.2,,,,,,
1396,996.0,40.7,3.4,9.4,0.512,1.28,5.5,1.3,3.2,,,,,,
1402,1619.0,50.3,18.0,4.5,0.152,0.38,35.0,5.3,2.4,,,,,,
1409,188.0,5.3,2.1,0.8,0.3,0.75,2.4,0.7,0.8,,,,,,0.00011999999999999999
1418,615.0,0.0,6.4,22.1,0.07112,0.1778,0.0,2.6,0.0,,,,,,
1420,657.0,30.2,0.9,5.2,0.004,0.01,1.5,0.1,,,,,,,
1423,1715.0,0.1,34.4,25.0,0.672,1.68,0.1,21.7,,,,,,,
1432,799.0,40.3,0.7,5.2,0.48,1.2,3.7,0.2,,,,,,,
1442,1054.0,22.5,13.3,10.5,0.332,0.83,1.2,2.4,,,,,,,
1447,1381.0,0.09,30.0,20.8,0.6,1.5,0.0,0.0,,,,,,,
1449,761.0,21.2,7.58,8.08,0.303,0.757,1.52,4.04,0.505,0.0,0.0202,0.000727,0.0,0.10099999999999999,6.0599999999999996e-05
1458,1075.0,61.4,0.5,0.5,0.07200000000000001,0.18,48.2,0.2,2.3,,,,,,
1485,1600.0,9.39,18.5,67.9,0.594,1.48,1.52,1.82,9.09,,,,,,
1488,0.0,0.0,0.0,0.0,1.32,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1493,586.0,18.8,5.2,3.1,0.22,0.55,3.2,0.7,2.8,,,,,,
1497,1749.0,0.0,34.6,26.7,0.324,0.81,0.0,22.5,,,,,,,
1502,1720.0,61.1,15.3,5.4,0.12,0.3,36.7,7.5,,,,,,,
1509,929.0,24.2,9.3,9.2,0.37200000000000005,0.93,2.0,1.5,,,,,,,
1514,2159.0,58.5,28.2,5.7,0.3,0.75,14.7,16.0,2.7,,,,,,
1520,665.0,67.5,7.5,1.1,0.512,1.28,32.7,0.8,1.8,0.0,0.0,0.0045,0.0,0.0,0.0
1533,4.0,0.0,0.1,0.1,0.032,0.08,0.0,0.1,0.1,,,,,,
1538,2171.0,62.3,26.9,6.0,0.18,0.45,39.1,15.6,,,,,,,
1539,2180.0,61.3,27.3,6.3,0.152,0.38,40.1,15.8,,,,,,,
1543,2192.0,54.1,30.0,6.8,0.28,0.7,3.0,3.0,,,,,,,
1545,234.0,4.9,0.4,8.3,0.08,0.2,4.8,0.3,,,,,,,
1548,519.0,5.4,9.6,4.1,0.092,0.23,4.8,6.5,,,,,,,
1575,1554.0,77.7,1.3,9.4,0.00400304,0.0100076,1.5,0.2,3.1,,,,,,
1578,2100.0,55.4,16.0,31.5,0.892,2.23,10.3,5.2,,,,,,,
1581,356.0,13.9,0.5,0.5,0.004,0.01,12.2,0.1,0.5,,,,,,
1583,582.0,18.4,5.3,3.5,0.16,0.4,4.7,2.4,1.6,,,,,,
1593,1192.0,40.7,11.7,3.2,0.08,0.2,21.6,7.4,2.2,,,,,,
1610,1234.0,16.5,6.14,29.3,0.244,0.61,15.8,0.85,,,,,,,
1618,332.0,5.73,4.41,4.41,62.7,157.0,5.29,2.64,0.0,,,,,,
1624,332.0,15.0,0.0,4.85,0.0716,0.179,10.1,0.0,0.0,0.0,0.0,0.0,0.0,0.17600000000000002,0.0
1627,761.0,0.1,8.2,27.0,0.6,1.5,0.05,2.9,,,,,,,
1628,2247.0,58.54,31.71,4.88,0.074168,0.18542,56.1,21.95,2.4,0.0,0.012,0.00351,0.0,0.098,0.0
1629,2201.0,63.16,28.95,5.26,0.053848,0.13462000000000002,57.89,18.42,2.6,0.0,0.013000000000000001,0.00474,0.0,0.105,0.0
1630,2301.0,60.0,32.5,5.0,0.089408,0.22351999999999997,57.5,22.5,2.5,0.0,0.012,0.0027,0.0,0.15,0.0
1637,2423.0,52.63,39.47,5.26,0.080264,0.20065999999999998,50.0,23.68,2.6,0.0,0.026000000000000002,0.0,0.0,0.21100000000000002,0.0
1638,3404.0,0.5,92.0,0.5,0.004,0.01,0.5,10.1,0.5,,,,,,
1642,1050.0,37.4,7.7,6.9,0.268,0.67,9.5,0.9,2.0,,,,,,
1643,1155.0,39.8,9.7,6.6,0.22,0.55,15.1,2.8,1.5,,,,,,
1644,1268.0,68.2,0.3,2.0,0.004,0.01,36.9,0.1,9.3,,,,,,
1656,725.0,15.2,6.9,12.1,0.8940799999999999,2.2352,15.2,1.4,0.5,,,,,,
1657,2209.0,63.89,27.78,5.56,0.127,0.3175,36.11,16.67,5.6,0.0,0.013999999999999999,0.005,0.0,0.055999999999999994,0.0
1663,1172.0,20.3,16.6,11.7,0.2,0.5,1.0,6.9,,,,,,,
1669,2251.0,53.7,32.5,6.8,0.08,0.2,53.5,20.1,1.7,,,,,,
1671,2163.0,56.4,29.3,6.1,0.07200000000000001,0.18,56.1,18.1,,,,,,,
1677,364.0,14.8,1.9,2.3,0.04,0.1,9.4,1.0,0.6,,,,,,
1679,155.0,,,0.1,0.04,0.1,8.5,0.1,0.1,,,,,,
1680,209.0,10.1,0.3,1.3,0.012,0.03,8.1,0.1,1.0,,,,0.024,,
1681,29.0,1.1,0.1,0.2,0.04,0.1,1.1,0.1,0.1,,,,,,
1685,862.0,23.0,7.1,11.2,0.36,0.9,2.3,1.0,,,,,,,
1707,540.0,14.7,2.8,10.7,0.152,0.38,2.0,1.2,1.1,,,,,,
1713,1720.0,1.9,34.4,22.9,0.552,1.38,1.1,21.2,1.2,,,,,,
1715,435.0,10.8,5.5,2.7,0.032,0.08,8.8,3.7,0.5,,,,,,
1716,2326.0,57.0,33.0,6.9,0.044000000000000004,0.11,49.0,20.0,,,,,,,
1719,1063.0,59.4,0.9,0.7,0.08,0.2,57.4,0.5,2.9,,,,,,
1728,741.0,0.1,0.1,0.1,0.04,0.1,0.1,0.1,,,,,,,
1747,251.0,13.1,0.2,0.9,0.04,0.1,12.0,0.1,1.0,,,,,,
1757,1063.0,2.0,22.7,10.2,0.37200000000000005,0.93,0.6,3.4,,,,,,,
1758,556.0,10.0,6.67,6.67,0.1016,0.254,10.0,0.0,,1.67,0.0,,,0.267,9.990000000000002e-05
1768,1618.0,1.4,32.9,21.7,0.612,1.53,0.4,19.7,0.8,,,,,,
1770,1393.0,60.0,10.0,3.33,0.0508,0.127,60.0,5.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0
1773,226.0,11.9,0.2,0.7,0.04,0.1,10.9,0.1,1.1,,,,,,
1776,423.0,14.9,2.2,4.8,0.032,0.08,8.3,0.6,1.3,,,,,,
1782,1670.0,58.5,10.8,15.4,0.594,1.48,1.54,4.62,4.62,0.0,0.0769,0.00277,0.0,0.154,0.0
1786,2372.0,16.67,50.0,23.33,0.38912800000000003,0.97282,3.33,3.33,13.3,0.0,0.0,0.0036,0.0,0.267,0.0
1800,837.0,29.0,10.0,13.0,0.42672,1.0668,2.0,6.0,2.0,0.0,0.035,0.00144,0.0,0.25,0.000525
1803,837.0,26.0,10.0,12.0,0.69088,1.7272,1.0,5.0,1.0,0.0,0.045,0.00144,0.0,0.2,0.00011999999999999999
1818,2230.0,66.7,26.7,6.67,0.373,0.9309999999999999,33.3,13.3,6.67,0.0,0.0333,0.0024,0.0,0.133,0.0
1822,590.0,11.6,6.0,9.4,0.24,0.6,0.3,2.6,1.7,,,,,,
1823,619.0,,,8.9,0.252,0.63,0.6,1.6,2.7,,,,,,
1835,272.0,11.38,0.0,4.07,0.23672800000000002,0.59182,0.0,0.0,4.1,0.0,0.0,0.00044,0.0015,0.016,0.0
1849,310.0,11.05,2.11,2.11,0.085344,0.21336,8.42,0.53,0.0,0.0,0.0,0.0,0.0,0.053,0.0
1851,167.0,11.0,0.0,0.0,0.0,0.0,11.0,0.0,,,,,,,
1891,1820.0,69.57,15.22,4.35,0.30886399999999997,0.7721600000000001,52.17,6.52,0.0,0.0,0.0,0.0,0.0,0.435,0.0006522
1925,280.0,16.0,0.0,1.0,0.012,0.03,14.0,0.0,,,,,,,
